player_name,pitcher,gs,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Trevor Megill,656730,0,753,94.58260292164674,0.15405046480743692,0.6733067729083665,7.299742345924033,151.5
Robert Suarez,663158,0,1076,96.63745353159851,0.13011152416356878,0.6802973977695167,7.651265209185266,138.2
Alex Vesia,681911,0,1000,89.2449,0.155,0.657,6.93262210111991,137.3
Andrew Kittredge,552640,0,768,91.92669270833333,0.15885416666666666,0.7018229166666666,5.114987384047253,135.9
Justin Slaten,686580,0,499,91.87975951903807,0.15030060120240482,0.6673346693386774,3.196935244088342,134.6
Grant Taylor,691799,0,610,94.64983606557378,0.14590163934426228,0.659016393442623,3.8989907441405,134.5
Reid Detmers,672282,0,1083,88.77608494921515,0.1615881809787627,0.6685133887349953,6.703520806663578,133.5
Chase Burns,695505,6,764,95.39620418848168,0.16753926701570682,0.6531413612565445,4.609659164052202,132.6
Adrián Morejón,670970,0,994,94.538430583501,0.11468812877263582,0.6881287726358148,5.908686316948703,132.2
Kenley Jansen,445276,0,869,91.93532796317606,0.14384349827387802,0.6962025316455697,5.128500701012869,132.0
Randy Rodríguez,678495,0,808,92.43180693069306,0.1547029702970297,0.6633663366336634,4.781502425892586,132.0
Garrett Crochet,676979,32,3150,92.25139682539684,0.15174603174603174,0.6711111111111111,18.461635218297396,131.8
Caleb Thielbar,573204,0,826,85.71138014527845,0.13317191283292978,0.6694915254237288,4.835110631899464,131.7
Shota Imanaga,684007,24,2107,86.22306597057428,0.13099193165638348,0.6782154722354058,12.264101930549003,131.5
Steven Matz,571927,4,1159,89.18766177739431,0.091458153580673,0.6824849007765315,6.708658979754683,131.4
Tanner Scott,656945,0,901,92.9041065482797,0.16426193118756938,0.6970033296337403,5.199552697093122,131.3
Tarik Skubal,669373,30,2849,93.09648999649,0.1783081783081783,0.7030537030537031,15.99445188009528,130.5
Hunter Greene,668881,19,1748,94.8495995423341,0.16762013729977115,0.6859267734553776,9.716517746392524,130.2
Aroldis Chapman,547973,0,917,96.14503816793894,0.2050163576881134,0.7011995637949836,4.980653809343022,129.5
